Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Birthweight_Grams,Total_Births,Last_Data_Refresh
Birth,2021,Place of Residence,91316,1000 - 1499 grams,<11,11/10/2025
Birth,2021,Place of Residence,91316,1500 - 1999 grams,<11,11/10/2025
Birth,2021,Place of Residence,91316,2000 - 2499 grams,21,11/10/2025
Birth,2021,Place of Residence,91316,2500 - 2999 grams,58,11/10/2025
Birth,2021,Place of Residence,91316,3000 - 3499 grams,142,11/10/2025
Birth,2021,Place of Residence,91316,3500 - 3999 grams,69,11/10/2025
Birth,2021,Place of Residence,91316,4000 - 5999 grams,18,11/10/2025
Birth,2021,Place of Residence,91316,Unreliable/Unknown,0,11/10/2025
Birth,2021,Place of Residence,91324,500 - 999 grams,<11,11/10/2025
Birth,2021,Place of Residence,91324,1000 - 1499 grams,0,11/10/2025
Birth,2021,Place of Residence,91324,1500 - 1999 grams,<11,11/10/2025
Birth,2021,Place of Residence,91324,2000 - 2499 grams,12,11/10/2025
Birth,2021,Place of Residence,91324,2500 - 2999 grams,60,11/10/2025
Birth,2021,Place of Residence,91324,3000 - 3499 grams,114,11/10/2025
Birth,2021,Place of Residence,91324,3500 - 3999 grams,67,11/10/2025
Birth,2021,Place of Residence,91324,4000 - 5999 grams,12,11/10/2025
Birth,2021,Place of Residence,91324,Unreliable/Unknown,<11,11/10/2025
Birth,2021,Place of Residence,91325,500 - 999 grams,0,11/10/2025
Birth,2021,Place of Residence,91325,1000 - 1499 grams,<11,11/10/2025
Birth,2021,Place of Residence,91325,1500 - 1999 grams,<11,11/10/2025
Birth,2021,Place of Residence,91325,2000 - 2499 grams,17,11/10/2025
Birth,2021,Place of Residence,91325,2500 - 2999 grams,63,11/10/2025
Birth,2021,Place of Residence,91325,3000 - 3499 grams,113,11/10/2025
Birth,2021,Place of Residence,91325,3500 - 3999 grams,70,11/10/2025
Birth,2021,Place of Residence,91325,4000 - 5999 grams,21,11/10/2025
Birth,2021,Place of Residence,91325,Unreliable/Unknown,0,11/10/2025
Birth,2021,Place of Residence,91326,500 - 999 grams,<11,11/10/2025
Birth,2021,Place of Residence,91326,1000 - 1499 grams,<11,11/10/2025
Birth,2021,Place of Residence,91326,1500 - 1999 grams,<11,11/10/2025
Birth,2021,Place of Residence,91326,2000 - 2499 grams,23,11/10/2025
Birth,2021,Place of Residence,91326,2500 - 2999 grams,47,11/10/2025
Birth,2021,Place of Residence,91326,3000 - 3499 grams,126,11/10/2025
Birth,2021,Place of Residence,91326,3500 - 3999 grams,77,11/10/2025
Birth,2021,Place of Residence,91326,4000 - 5999 grams,13,11/10/2025
Birth,2021,Place of Residence,91326,Unreliable/Unknown,0,11/10/2025
Birth,2021,Place of Residence,91330,500 - 999 grams,0,11/10/2025
Birth,2021,Place of Residence,91330,1000 - 1499 grams,0,11/10/2025
Birth,2021,Place of Residence,91330,1500 - 1999 grams,0,11/10/2025
Birth,2021,Place of Residence,91330,2000 - 2499 grams,0,11/10/2025
Birth,2021,Place of Residence,91330,2500 - 2999 grams,0,11/10/2025
Birth,2021,Place of Residence,91330,3000 - 3499 grams,<11,11/10/2025
Birth,2021,Place of Residence,91330,3500 - 3999 grams,<11,11/10/2025
Birth,2021,Place of Residence,91330,4000 - 5999 grams,0,11/10/2025
Birth,2021,Place of Residence,91330,Unreliable/Unknown,0,11/10/2025
Birth,2021,Place of Residence,91331,500 - 999 grams,<11,11/10/2025
Birth,2021,Place of Residence,91331,1000 - 1499 grams,14,11/10/2025
Birth,2021,Place of Residence,91331,1500 - 1999 grams,21,11/10/2025
Birth,2021,Place of Residence,91331,2000 - 2499 grams,60,11/10/2025
Birth,2021,Place of Residence,91331,2500 - 2999 grams,215,11/10/2025
Birth,2021,Place of Residence,91331,3000 - 3499 grams,410,11/10/2025
Birth,2021,Place of Residence,91331,3500 - 3999 grams,273,11/10/2025
Birth,2021,Place of Residence,91331,4000 - 5999 grams,66,11/10/2025
Birth,2021,Place of Residence,91331,Unreliable/Unknown,<11,11/10/2025
Birth,2020,Place of Residence,91311,500 - 999 grams,0,11/10/2025
Birth,2020,Place of Residence,91311,1000 - 1499 grams,<11,11/10/2025
Birth,2020,Place of Residence,91311,1500 - 1999 grams,<11,11/10/2025
